"","Variable","Description","URL","Levels","Category","UKB.dataset.ID","Field.ID","Notes","Description.1","Years.collected","UKB.Assessment","UKB.Category"
"1","country_birth","Country of birth (UK/elsewhere)","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647",NA,"Early life factors","f.1647.0.0",1647,"",NA,"2006-2010","ACE/Touchscreen","Early life factors"
"2","breastfed","Breastfed as a baby","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677",NA,"Early life factors","f.1677.0.0",1677,"",NA,"2006-2010","ACE/Touchscreen","Early life factors"
"3","body_size_10yrs_old","Comparative body size at age 10","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687",NA,"Early life factors","f.1687.0.0",1687,"",NA,"2006-2010","ACE/Touchscreen","Early life factors"
"4","height_10yrs_old","Comparative height size at age 10","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697",NA,"Early life factors","f.1697.0.0",1697,"",NA,"2006-2010","ACE/Touchscreen","Early life factors"
"5","handedness","Handedness (chirality/laterality)","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707",NA,"Early life factors","f.1707.0.0",1707,"",NA,"2006-2010","ACE/Touchscreen","Early life factors"
"7","part_multiple_birth","Part of a multiple birth","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777",NA,"Early life factors","f.1777.0.0",1777,"",NA,"2006-2010","ACE/Touchscreen","Early life factors"
"8","maternal_smoking","Maternal smoking around birth","https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787",NA,"Early life factors","f.1787.0.0",1787,"",NA,"2006-2010","ACE/Touchscreen","Early life factors"
"9","birth_weight","Birth weight","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20022",NA,"Early life factors","f.20022.0.0",20022,"",NA,"2006-2010","ACE/Verbal interview","Early life factors"
"18","relative_illness_injury_assault","Illness, injury, bereavement, stress in last 2 years","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145",NA,"Stressful life events","f.6145.0.0 - f.6145.0.5",6146,"",NA,"","",""
"19","death_relative","Illness, injury, bereavement, stress in last 2 years","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145",NA,"Stressful life events","f.6145.0.0 - f.6145.0.5",6147,"",NA,"","",""
"20","death_partner","Illness, injury, bereavement, stress in last 2 years","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145",NA,"Stressful life events","f.6145.0.0 - f.6145.0.5",6148,"",NA,"","",""
"21","divorce","Illness, injury, bereavement, stress in last 2 years","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145",NA,"Stressful life events","f.6145.0.0 - f.6145.0.5",6149,"",NA,"","",""
"22","financial_difficulty","Illness, injury, bereavement, stress in last 2 years","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145",NA,"Stressful life events","f.6145.0.0 - f.6145.0.5",6150,"",NA,"","",""
"23","family_visit_freq","Frequency of friend/family visits","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1031",NA,"Social support","f.1031.0.0",1031,"",NA,"2006-2010","ACE/Touchscreen","Social support"
"24","gym","Leisure/social activities","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160",NA,"Social support","f.6160.0.0 - f.6160.0.4",6160,"",NA,"2006-2010","ACE/Touchscreen","Social support"
"25","pub","Leisure/social activities","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160",NA,"Social support","f.6160.0.0 - f.6160.0.4",6161,"",NA,"","",""
"26","religious_group","Leisure/social activities","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160",NA,"Social support","f.6160.0.0 - f.6160.0.4",6162,"",NA,"","",""
